cluster,rank,genre,track_count,genre_percentage_in_cluster
0,1,comedy,803,76.7
0,2,show-tunes,31,2.96
0,3,kids,20,1.91
0,4,children,19,1.81
0,5,funk,16,1.53
1,1,heavy-metal,721,3.57
1,2,hardstyle,645,3.2
1,3,grunge,627,3.11
1,4,death-metal,615,3.05
1,5,metalcore,612,3.03
2,1,salsa,793,2.88
2,2,dancehall,793,2.88
2,3,kids,771,2.8
2,4,forro,681,2.47
2,5,dance,653,2.37
3,1,new-age,762,11.55
3,2,sleep,744,11.27
3,3,ambient,662,10.03
3,4,classical,629,9.53
3,5,iranian,432,6.55
4,1,pagode,466,7.54
4,2,sertanejo,352,5.7
4,3,samba,268,4.34
4,4,mpb,221,3.58
4,5,forro,190,3.07
5,1,tango,760,4.18
5,2,honky-tonk,738,4.06
5,3,romance,704,3.87
5,4,cantopop,691,3.8
5,5,acoustic,626,3.45
6,1,minimal-techno,777,7.75
6,2,detroit-techno,736,7.34
6,3,study,570,5.68
6,4,chicago-house,524,5.23
6,5,grindcore,507,5.06
