customer_id,age,annual_income_k,spending_score,purchase_frequency,avg_order_value,loyalty_years,segment_category
CUST_0001,56,118.1,59,12,59.36,2.8,Online
CUST_0002,69,90.8,39,14,95.05,0.8,Retail
CUST_0003,46,27.0,99,12,85.24,0.2,Retail
CUST_0004,32,52.9,54,10,115.11,1.5,Corporate
CUST_0005,60,96.7,98,6,150.62,0.8,Online
CUST_0006,25,47.3,55,7,46.29,0.7,Corporate
CUST_0007,38,76.1,24,14,65.53,9.6,Online
CUST_0008,56,84.4,22,8,90.67,2.9,Wholesale
CUST_0009,36,41.8,69,7,51.84,2.4,Online
CUST_0010,40,63.5,56,14,108.47,1.6,Online
CUST_0011,28,15.0,33,19,110.3,1.7,Online
CUST_0012,28,39.4,36,12,101.78,2.3,Retail
CUST_0013,41,58.7,20,15,92.1,3.6,Online
CUST_0014,53,33.8,83,16,126.09,3.6,Wholesale
CUST_0015,57,105.8,99,17,50.33,0.6,Wholesale
CUST_0016,41,29.2,81,16,86.96,2.1,Wholesale
CUST_0017,20,54.0,62,13,62.84,1.6,Online
CUST_0018,39,68.3,98,14,111.7,6.1,Corporate
CUST_0019,19,101.0,73,5,30.0,3.0,Corporate
CUST_0020,41,29.1,26,10,84.16,2.3,Wholesale
CUST_0021,61,94.1,66,15,95.06,0.4,Retail
CUST_0022,47,65.3,73,12,56.58,2.8,Corporate
CUST_0023,55,40.5,73,14,66.21,0.4,Online
CUST_0024,19,76.6,40,14,85.46,1.2,Corporate
CUST_0025,38,70.0,17,14,113.65,0.5,Wholesale
CUST_0026,50,50.0,1,12,54.01,3.5,Retail
CUST_0027,29,66.7,89,14,59.25,0.7,Corporate
CUST_0028,39,55.4,61,11,118.77,1.5,Corporate
CUST_0029,61,67.8,43,13,76.81,6.8,Wholesale
CUST_0030,42,81.6,42,14,61.67,0.7,Retail
CUST_0031,66,104.7,25,11,106.86,2.1,Retail
CUST_0032,44,34.1,39,9,70.35,1.6,Wholesale
CUST_0033,59,118.3,35,13,115.82,0.1,Online
CUST_0034,45,16.2,3,18,65.09,4.7,Corporate
CUST_0035,33,61.2,44,12,80.21,0.2,Online
CUST_0036,32,79.7,51,17,113.35,1.9,Corporate
CUST_0037,64,72.0,94,12,78.21,2.5,Corporate
CUST_0038,68,49.4,98,13,107.68,3.0,Online
CUST_0039,61,59.8,12,9,83.03,3.5,Wholesale
CUST_0040,69,52.7,19,10,144.45,0.9,Wholesale
CUST_0041,20,50.3,44,11,132.06,0.1,Corporate
CUST_0042,54,86.2,59,6,45.16,3.9,Wholesale
CUST_0043,68,73.9,49,12,100.67,2.3,Corporate
CUST_0044,24,47.7,61,16,60.51,5.4,Wholesale
CUST_0045,38,87.5,17,9,90.75,5.2,Corporate
CUST_0046,26,72.7,74,14,87.05,5.6,Wholesale
CUST_0047,56,85.3,57,8,53.34,2.0,Retail
CUST_0048,35,80.7,55,15,116.75,1.2,Online
CUST_0049,21,44.3,47,12,91.1,4.7,Retail
CUST_0050,42,51.0,12,15,76.46,1.8,Online
CUST_0051,31,83.7,62,17,71.86,0.6,Online
CUST_0052,67,80.3,80,7,89.19,5.8,Corporate
CUST_0053,26,64.5,88,5,97.24,6.4,Online
CUST_0054,43,67.9,83,19,81.25,1.9,Retail
CUST_0055,19,96.9,8,7,15.0,0.2,Retail
CUST_0056,37,50.2,95,19,85.51,1.5,Wholesale
CUST_0057,45,78.7,21,12,41.76,4.9,Retail
CUST_0058,64,59.9,81,21,78.72,7.0,Wholesale
CUST_0059,24,59.6,87,20,42.86,0.7,Online
CUST_0060,61,92.5,80,17,42.51,0.2,Retail
CUST_0061,25,85.6,70,12,122.05,6.3,Online
CUST_0062,64,85.3,72,14,75.4,1.5,Retail
CUST_0063,52,97.6,25,14,73.1,2.3,Retail
CUST_0064,31,65.5,82,11,99.48,10.3,Wholesale
CUST_0065,34,82.0,89,8,73.88,0.2,Online
CUST_0066,53,57.2,12,14,148.11,3.1,Retail
CUST_0067,67,73.1,15,13,76.81,0.2,Corporate
CUST_0068,57,61.7,59,13,95.95,1.4,Online
CUST_0069,21,67.4,26,18,114.13,4.9,Online
CUST_0070,19,79.9,26,14,133.07,1.7,Online
CUST_0071,23,44.5,47,14,62.74,15.0,Wholesale
CUST_0072,59,117.3,32,14,72.46,2.5,Corporate
CUST_0073,21,39.8,10,11,123.24,1.2,Online
CUST_0074,46,34.6,16,15,109.3,0.7,Retail
CUST_0075,35,94.0,71,11,117.26,1.3,Retail
CUST_0076,43,84.8,17,11,43.94,1.4,Wholesale
CUST_0077,61,80.6,23,7,131.44,0.2,Retail
CUST_0078,51,80.7,26,11,62.16,1.4,Online
CUST_0079,27,64.7,85,14,90.77,1.9,Retail
CUST_0080,53,42.6,86,11,80.55,3.8,Online
CUST_0081,31,66.9,7,11,58.65,3.2,Retail
CUST_0082,48,48.1,14,6,42.62,3.7,Corporate
CUST_0083,65,89.4,79,14,32.68,0.1,Wholesale
CUST_0084,32,61.3,7,12,88.57,0.7,Wholesale
CUST_0085,25,44.4,9,16,39.24,3.3,Corporate
CUST_0086,31,57.0,48,12,50.99,2.0,Corporate
CUST_0087,40,75.3,72,10,78.46,0.1,Wholesale
CUST_0088,57,50.9,59,11,15.0,4.9,Corporate
CUST_0089,38,44.4,87,12,108.37,4.4,Online
CUST_0090,33,71.1,93,17,15.0,2.4,Retail
CUST_0091,62,71.1,82,18,82.68,0.2,Wholesale
CUST_0092,35,52.3,95,19,85.45,4.4,Corporate
CUST_0093,64,53.2,94,7,101.14,2.6,Online
CUST_0094,41,70.8,39,9,83.75,4.6,Wholesale
CUST_0095,43,28.8,99,10,145.54,4.2,Corporate
CUST_0096,42,29.8,18,12,91.49,4.9,Wholesale
CUST_0097,62,47.0,59,13,116.61,2.2,Corporate
CUST_0098,58,59.7,17,9,63.3,0.5,Wholesale
CUST_0099,46,72.8,14,7,88.62,3.3,Online
CUST_0100,32,101.9,31,14,131.43,2.9,Online
CUST_0101,62,86.4,24,12,77.87,4.1,Retail
CUST_0102,18,61.0,99,7,90.77,0.6,Wholesale
CUST_0103,42,64.5,60,12,114.43,0.7,Retail
CUST_0104,24,39.9,45,12,62.73,6.6,Wholesale
CUST_0105,26,64.5,98,13,20.15,4.2,Corporate
CUST_0106,41,57.8,3,17,92.67,7.2,Corporate
CUST_0107,18,73.1,37,9,114.66,4.3,Retail
CUST_0108,61,44.3,43,11,44.46,2.7,Wholesale
CUST_0109,25,78.0,40,17,105.11,3.2,Retail
CUST_0110,41,103.3,90,9,105.31,6.6,Online
CUST_0111,28,62.3,55,11,16.8,2.6,Retail
CUST_0112,68,75.0,87,11,56.91,3.0,Retail
CUST_0113,34,82.3,39,8,73.13,0.5,Corporate
CUST_0114,25,55.0,15,16,79.61,1.9,Retail
CUST_0115,52,70.6,4,6,62.71,3.8,Wholesale
CUST_0116,52,65.3,93,13,61.09,0.9,Corporate
CUST_0117,50,67.4,86,12,135.14,0.7,Retail
CUST_0118,22,45.7,25,11,81.77,1.1,Online
CUST_0119,59,65.6,13,11,64.15,0.8,Retail
CUST_0120,56,77.4,82,14,83.76,0.7,Retail
CUST_0121,58,101.3,33,7,101.11,1.7,Retail
CUST_0122,45,89.0,16,13,86.55,7.2,Corporate
CUST_0123,24,118.8,42,6,78.83,2.1,Wholesale
CUST_0124,26,45.8,66,17,65.5,0.6,Online
CUST_0125,25,86.8,55,10,65.14,0.2,Retail
CUST_0126,29,69.6,99,10,67.07,3.6,Wholesale
CUST_0127,51,119.7,42,12,95.16,1.4,Wholesale
CUST_0128,50,44.8,34,15,55.17,5.2,Corporate
CUST_0129,65,44.0,30,12,96.8,3.2,Online
CUST_0130,40,50.0,13,14,127.39,4.8,Corporate
CUST_0131,41,15.0,13,10,94.77,1.0,Wholesale
CUST_0132,54,51.9,18,14,73.91,3.5,Wholesale
CUST_0133,52,46.0,32,14,46.06,0.9,Wholesale
CUST_0134,61,68.8,96,5,132.34,8.4,Corporate
CUST_0135,57,73.5,99,20,49.9,3.0,Online
CUST_0136,39,111.9,39,14,110.46,1.2,Retail
CUST_0137,44,88.8,46,12,104.16,0.9,Corporate
CUST_0138,52,50.6,29,11,77.9,0.6,Wholesale
CUST_0139,18,42.5,62,10,77.11,3.6,Corporate
CUST_0140,52,77.3,93,9,29.93,0.7,Wholesale
CUST_0141,54,32.0,62,18,94.9,2.7,Retail
CUST_0142,64,110.8,57,16,103.6,0.9,Retail
CUST_0143,31,94.5,16,13,52.33,3.3,Online
CUST_0144,20,53.3,56,15,80.33,5.1,Wholesale
CUST_0145,18,22.2,10,14,86.14,4.5,Online
CUST_0146,22,98.8,30,10,102.54,4.3,Online
CUST_0147,43,62.1,25,10,85.11,0.6,Retail
CUST_0148,31,95.9,84,19,36.21,0.3,Corporate
CUST_0149,56,25.1,5,10,69.1,3.6,Corporate
CUST_0150,44,50.0,65,11,91.74,1.4,Online
CUST_0151,26,65.1,94,16,110.25,1.7,Retail
CUST_0152,32,66.2,49,18,66.47,0.1,Wholesale
CUST_0153,32,53.7,3,16,150.63,0.9,Corporate
CUST_0154,43,80.6,45,15,28.17,0.1,Online
CUST_0155,59,38.3,14,10,68.09,6.3,Corporate
CUST_0156,30,61.4,30,11,82.51,0.8,Corporate
CUST_0157,68,68.0,68,14,78.98,2.4,Wholesale
CUST_0158,49,77.9,18,16,48.04,0.1,Retail
CUST_0159,56,82.8,62,12,98.44,3.3,Wholesale
CUST_0160,66,36.9,37,15,96.13,1.2,Retail
CUST_0161,69,26.6,25,12,86.44,6.8,Corporate
CUST_0162,49,96.9,48,8,94.96,6.6,Online
CUST_0163,21,73.3,65,5,72.29,1.2,Wholesale
CUST_0164,47,46.3,53,11,36.48,6.9,Retail
CUST_0165,54,103.8,79,12,63.5,15.0,Corporate
CUST_0166,40,67.9,73,7,89.71,5.2,Retail
CUST_0167,56,94.5,15,9,89.88,5.6,Retail
CUST_0168,62,66.7,49,14,86.24,0.9,Retail
CUST_0169,32,116.5,88,12,101.46,2.6,Corporate
CUST_0170,60,108.9,68,9,67.57,0.2,Online
CUST_0171,46,58.8,12,7,85.8,0.3,Online
CUST_0172,53,89.3,59,7,102.16,15.0,Online
CUST_0173,30,81.1,37,5,82.45,1.2,Retail
CUST_0174,49,99.2,61,13,47.7,4.1,Corporate
CUST_0175,24,40.9,43,13,56.16,4.9,Retail
CUST_0176,68,82.2,70,11,109.93,5.9,Online
CUST_0177,39,91.5,39,17,126.77,15.0,Online
CUST_0178,45,21.0,56,8,120.26,0.8,Corporate
CUST_0179,19,35.4,63,11,91.96,0.1,Retail
CUST_0180,59,15.0,46,12,48.91,1.6,Wholesale
CUST_0181,62,58.3,88,9,84.81,0.4,Wholesale
CUST_0182,23,82.9,11,7,131.87,0.1,Online
CUST_0183,45,102.6,62,9,103.55,1.3,Corporate
CUST_0184,45,66.9,77,12,78.78,4.6,Retail
CUST_0185,61,105.7,98,12,103.86,2.5,Retail
CUST_0186,61,30.5,25,16,46.92,1.1,Online
CUST_0187,37,22.4,71,12,64.13,3.2,Online
CUST_0188,47,63.6,52,10,52.47,0.8,Retail
CUST_0189,28,74.6,4,12,99.09,0.1,Retail
CUST_0190,45,64.2,59,11,106.42,4.3,Online
CUST_0191,42,15.0,72,10,80.39,2.9,Retail
CUST_0192,56,62.8,20,11,58.81,4.3,Wholesale
CUST_0193,50,32.4,93,16,84.41,0.1,Online
CUST_0194,18,81.7,63,17,70.4,5.4,Retail
CUST_0195,44,74.2,54,13,61.11,2.9,Online
CUST_0196,69,41.5,74,17,95.17,2.5,Corporate
CUST_0197,30,52.2,98,13,62.26,2.9,Online
CUST_0198,58,38.5,57,12,38.01,6.0,Online
CUST_0199,20,63.4,90,15,44.68,2.7,Corporate
CUST_0200,56,88.9,41,14,36.9,2.6,Wholesale
CUST_0201,23,40.4,3,6,92.43,14.0,Retail
CUST_0202,25,77.6,6,15,89.51,4.2,Corporate
CUST_0203,44,51.7,5,10,88.02,1.8,Online
CUST_0204,26,45.2,5,15,102.63,3.7,Retail
CUST_0205,54,62.3,54,8,120.76,1.5,Corporate
CUST_0206,50,39.1,47,7,67.23,0.8,Retail
CUST_0207,68,51.2,87,15,97.19,2.7,Retail
CUST_0208,59,35.1,49,22,37.61,7.9,Corporate
CUST_0209,61,114.1,9,15,126.36,7.9,Retail
CUST_0210,41,65.9,99,11,47.66,1.3,Wholesale
CUST_0211,32,47.5,20,7,63.7,2.3,Corporate
CUST_0212,49,70.3,61,15,67.07,0.7,Wholesale
CUST_0213,49,62.2,35,12,39.21,15.0,Online
CUST_0214,41,59.5,50,13,85.98,11.9,Retail
CUST_0215,58,80.4,82,14,91.42,3.1,Online
CUST_0216,69,83.9,62,9,79.32,4.9,Online
CUST_0217,66,51.7,17,11,38.79,3.8,Retail
CUST_0218,66,50.6,88,9,144.5,2.7,Corporate
CUST_0219,69,58.1,3,13,101.48,0.2,Retail
CUST_0220,29,15.0,32,9,164.03,1.8,Online
CUST_0221,56,27.1,99,12,60.85,3.4,Online
CUST_0222,19,99.2,13,14,113.74,3.4,Corporate
CUST_0223,20,106.1,89,14,108.38,1.4,Retail
CUST_0224,66,58.8,73,19,76.28,8.5,Online
CUST_0225,54,79.4,68,8,127.33,0.5,Wholesale
CUST_0226,66,72.8,14,14,72.84,2.1,Online
CUST_0227,34,142.0,98,9,74.17,3.5,Online
CUST_0228,66,93.0,11,12,15.0,3.6,Corporate
CUST_0229,19,61.8,56,12,97.27,3.1,Wholesale
CUST_0230,19,41.1,67,13,45.23,1.0,Online
CUST_0231,45,24.8,92,15,68.48,0.5,Online
CUST_0232,40,70.1,29,12,54.21,3.0,Wholesale
CUST_0233,54,46.1,9,9,74.01,2.7,Retail
CUST_0234,49,29.4,67,11,98.32,0.6,Retail
CUST_0235,50,48.8,25,9,85.33,3.7,Online
CUST_0236,18,38.0,98,15,106.29,1.8,Online
CUST_0237,36,107.2,76,8,122.97,3.3,Retail
CUST_0238,19,87.0,42,15,73.94,5.4,Corporate
CUST_0239,61,64.8,9,11,70.64,0.6,Wholesale
CUST_0240,43,102.0,79,8,113.73,0.1,Wholesale
CUST_0241,49,66.9,40,11,116.11,4.5,Corporate
